ratio,co,lpg,ch4
3.26,0,0,0
2.41,0,0,0
1.61,200,400,500
1.78,0,0,0
2.11,0,0,0
1.9,0,0,0
1.96,0,0,0
1.35,200,400,500
1.11,200,400,500
1.29,200,400,500
2.26,0,0,0
1.48,200,400,500
1.51,200,400,500
1.77,0,0,0
2.07,0,0,0
1.67,200,400,500
1.29,200,400,500
1.81,0,0,0
1.97,0,0,0
1.27,200,400,500
1.43,200,400,500
2.05,0,0,0
2.1,0,0,0
1.32,200,400,500
1.83,0,0,0
1.68,200,400,500
2.47,0,0,0
1.69,200,400,500
1.56,200,400,500
1.93,0,0,0
2.03,0,0,0
1.31,200,400,500
1.55,200,400,500
1.47,200,400,500
2.32,0,0,0
2.04,0,0,0
2.01,0,0,0
1.27,200,400,500
2.5,0,0,0
1.44,200,400,500
1.98,0,0,0
